NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 4,Row,241, 9,228 , 2532 , 25.32,1656214273.7792387 
0,0, 4, 17,Row,249, 10,251 , 2811 , 28.11,1656214273.7792387 
0,0, 4, 12,Col,249, 10,204 , 2764 , 27.64,1656214273.7792387 
0,0, 4, 21,Col,241, 12,64 , 3136 , 31.36,1656214273.7792387 

1,0, 4, 4,Row,195, 2,59 , 571 , 5.71,1656214274.6411915 
1,0, 4, 17,Row,255, 15,137 , 3977 , 39.77,1656214274.6411915 
1,0, 4, 12,Col,110, 6,112 , 1648 , 16.48,1656214274.6411915 
1,0, 4, 21,Col,97, 15,160 , 4000 , 40.0,1656214274.6411915 
1,0, 4, 4,Row,135, 2,153 , 665 , 6.65,1656214274.6411915 
1,0, 4, 21,Col,253, 12,70 , 3142 , 31.42,1656214274.6411915 
1,0, 4, 4,Row,214, 4,84 , 1108 , 11.08,1656214274.6411915 

