NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 31,Row,124, 3,241 , 1009 , 10.09,1657134986.0974562 
0,0, 4, 23,Col,124, 3,219 , 987 , 9.87,1657134986.0974562 
0,0, 4, 31,Row,90, 15,20 , 3860 , 38.6,1657134986.0974562 
0,0, 4, 23,Col,90, 15,15 , 3855 , 38.55,1657134986.0974562 
1,0, 4, 31,Row,165, 7,38 , 1830 , 18.3,1657134988.1007915 
1,0, 4, 23,Col,165, 7,34 , 1826 , 18.26,1657134988.1007915 
2,0, 4, 31,Row,42, 8,122 , 2170 , 21.7,1657134988.5851476 
2,0, 4, 23,Col,42, 8,116 , 2164 , 21.64,1657134988.5851476 
3,0, 4, 31,Row,230, 5,61 , 1341 , 13.41,1657135033.659645 
3,0, 4, 23,Col,229, 5,52 , 1332 , 13.32,1657135033.659645 
4,0, 4, 31,Row,57, 5,230 , 1510 , 15.1,1657135045.9165485 
4,0, 4, 23,Col,57, 5,222 , 1502 , 15.02,1657135045.9165485 
5,0, 4, 31,Row,252, 9,133 , 2437 , 24.37,1657135086.1873398 
5,0, 4, 23,Col,252, 9,128 , 2432 , 24.32,1657135086.1873398 
